rank,signature,d_orbit_size,count,rate,wilson95_lower,wilson95_upper,check_count,label_counts,status_counts,mixed_labels
64,++++++++--+++-+,12,2280,0.00456000,0.00437702,0.00475059,3,0_1:3,identified_unknot:3,False
65,++++----+-++++-,12,2273,0.00454600,0.00436331,0.00473631,3,0_1:3,identified_unknot:3,False
66,++++---++--+++-,12,2272,0.00454400,0.00436135,0.00473426,3,0_1:3,identified_unknot:3,False
67,++++++++--+++++,12,2261,0.00452200,0.00433980,0.00471182,3,0_1:3,identified_unknot:3,False
68,+++++---+-++++-,12,2256,0.00451200,0.00433000,0.00470161,3,0_1:3,identified_unknot:3,False
69,+++++-++++--+-+,12,2255,0.00451000,0.00432804,0.00469957,3,0_1:3,identified_unknot:3,False
70,+++--+---++++-+,12,2254,0.00450800,0.00432608,0.00469753,3,0_1:3,identified_unknot:3,False
71,+++--+++--+++-+,12,2249,0.00449800,0.00431629,0.00468732,3,0_1:3,identified_unknot:3,False
72,++++---+++--+-+,12,2246,0.00449200,0.00431041,0.00468120,3,0_1:3,identified_unknot:3,False
73,+++++---+--+++-,12,2242,0.00448400,0.00430258,0.00467304,3,0_1:3,identified_unknot:3,False
74,+++++-++++++-+-,12,2241,0.00448200,0.00430062,0.00467100,3,0_1:3,identified_unknot:3,False
75,+++++-++++++---,12,2241,0.00448200,0.00430062,0.00467100,3,0_1:3,identified_unknot:3,False
76,+++++---++++++-,12,2240,0.00448000,0.00429866,0.00466895,3,0_1:3,identified_unknot:3,False
77,++++--++-+--+-+,12,2233,0.00446600,0.00428495,0.00465467,3,0_1:3,identified_unknot:3,False
78,+++--++++--++-+,12,2233,0.00446600,0.00428495,0.00465467,3,0_1:3,identified_unknot:3,False
79,++++++++----++-,12,2230,0.00446000,0.00427907,0.00464854,3,0_1:3,identified_unknot:3,False
80,++++---+++++++-,12,2228,0.00445600,0.00427515,0.00464446,3,0_1:3,identified_unknot:3,False
81,+++++-+----+++-,12,2227,0.00445400,0.00427320,0.00464242,3,0_1:3,identified_unknot:3,False
82,++++--++-+--+--,12,2222,0.00444400,0.00426340,0.00463221,3,0_1:3,identified_unknot:3,False
83,+++++-+++++----,12,2221,0.00444200,0.00426144,0.00463017,3,0_1:3,identified_unknot:3,False
84,+++++-++-+--+--,12,2221,0.00444200,0.00426144,0.00463017,3,0_1:3,identified_unknot:3,False
85,+++++--+++-+++-,12,2221,0.00444200,0.00426144,0.00463017,3,0_1:3,identified_unknot:3,False
86,+++++-----++-++,12,2221,0.00444200,0.00426144,0.00463017,3,0_1:3,identified_unknot:3,False
87,++++----+--+++-,12,2220,0.00444000,0.00425948,0.00462813,3,0_1:3,identified_unknot:3,False
88,+++++-----+++++,12,2219,0.00443800,0.00425753,0.00462609,3,0_1:3,identified_unknot:3,False
89,+++--+++-++++-+,12,2219,0.00443800,0.00425753,0.00462609,3,0_1:3,identified_unknot:3,False
90,+++++-----++++-,12,2218,0.00443600,0.00425557,0.00462405,3,0_1:3,identified_unknot:3,False
91,+++--+---++++--,12,2217,0.00443400,0.00425361,0.00462201,3,0_1:3,identified_unknot:3,False
